SpS,PPS
400,207.0873538
415,207.7837804
430,207.7934677
444,207.7915256
459,208.0315986
474,208.5141807
488,208.5238753
503,208.5805987
517,208.7640765
532,209.2377511
547,209.2474529
561,209.4918678
576,209.5015657
590,209.9780829
605,210.0473857
620,210.2344153
634,210.2441205
649,210.7715162
664,210.9603187
678,210.9820832
693,210.9917956
707,211.5224262
722,211.7130577
737,211.7227773
751,211.7931364
766,212.278545
780,212.4710282
795,212.541834
810,212.5515615
824,213.2245535
839,213.2342876
854,213.2931902
868,213.3152804
883,213.9931528
897,214.0648672
912,214.0746093
927,214.2594071
941,214.8170263
956,214.8267756
970,214.8490842
985,215.0483148
1000,215.5968542
1014,215.6066108
1029,215.8077643
1044,215.8806012
1058,216.3694473
1073,216.391977
1087,216.6586665
1102,216.6684266
1117,217.1731648
1131,217.1700642
1146,217.4391844
1160,217.4489518
1175,217.9697721
1190,218.2414615
1204,218.2382046
1219,218.2479793
1234,218.8238118
1248,219.0331924
1263,219.0429745
1277,219.0527565
1292,219.8339803
1307,219.8437697
1321,219.8535592
1336,219.9155971
1350,220.63707
1365,220.6602281
1380,220.7360264
1394,220.9507695
1409,221.4593559
1424,221.4691601
1438,221.5454568
1453,222.2642584
1467,222.2740699
1482,222.3508699
1497,222.3742788
1511,222.5933222
1526,223.1758391
1540,223.1719482
1555,223.4068752
1570,223.9251175
1584,224.0167797
1599,224.2402448
1614,224.2361916
1628,224.314257
1643,224.8360594
1657,225.0896898
1672,225.1542936
1687,225.6794515
1701,225.9074009
1716,225.9172381
1730,225.9963674
1745,226.0062053
1760,226.7693346
1774,226.8490098
1789,226.8588551
1804,227.3907942
1818,227.6793896
1833,227.7036083
1847,227.7134611
1862,227.7376823
1877,228.554661
1891,228.5645212
1906,228.5888731
1920,228.8963336
1935,229.4365706
1950,229.4464383
1964,229.5278188
1979,229.7667101
1994,230.3251974
2008,230.3350726
2023,230.6337171
2037,230.6435883
2052,231.2057463
2067,231.2882681
2081,231.5470429
2096,231.5419819
2110,232.1661195
2125,232.4124518
2140,232.422338
2154,232.4472942
2169,233.0757044
2184,233.3246171
2198,233.3345108
2213,233.4184663
2227,233.9617769
2242,234.22853
2257,234.3284272
2271,234.3383291
2286,235.1449067
2300,235.139342
2315,235.2244892
2330,235.2498837
2344,236.0784429
2359,236.16422
2374,236.1585119
2388,236.4167276
2403,237.0642752
2417,237.0899636
2432,237.0841242
2447,237.3608475
2461,238.012937
2476,238.0228691
2490,238.3025224
2505,238.3738545
2520,238.9530838
2534,238.9630235
2549,239.3235884
2564,239.333524
2578,239.9167619
2593,240.0051085
2607,240.2746565
2622,240.2845997
2637,240.871819
2651,241.2232489
2666,241.249617
2680,241.2595678
2695,241.9305826
2710,242.1893518
2724,242.1993103
2739,242.2258351
2754,243.1865875
2768,243.1965535
2783,243.1897991
2797,243.2804243
2812,244.1515323
2827,244.1783795
2841,244.2696911
2856,244.5526166
2870,245.1580811
2885,245.1680624
2900,245.2600565
2914,246.1457228
2929,246.1729007
2944,246.2655985
2958,246.2755881
2973,246.5646753
